

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.154.42.65:64764     3.130.78.4:443         ESTABLISHED     11284
  TCP    10.154.42.65:64917     54.224.234.185:443     ESTABLISHED     11284
  TCP    10.154.42.65:65464     17.250.81.26:443       CLOSE_WAIT      30392
  TCP    127.0.0.1:8884         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:9247         0.0.0.0:0              LISTENING       5628
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING       47368
  TCP    127.0.0.1:15393        0.0.0.0:0              LISTENING       47368
  TCP    127.0.0.1:16494        0.0.0.0:0              LISTENING       47368
  TCP    127.0.0.1:19292        0.0.0.0:0              LISTENING       8224
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       6468
  TCP    127.0.0.1:46624        0.0.0.0:0              LISTENING       16500
  TCP    127.0.0.1:46624        127.0.0.1:49720        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:49783        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:49843        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:49915        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:49979        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:50906        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:50981        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51041        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51099        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51162        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51224        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51285        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51345        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51402        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51464        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51526        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51585        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51643        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51701        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51759        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51826        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51886        TIME_WAIT       0
  TCP    127.0.0.1:46624        127.0.0.1:51947        TIME_WAIT       0
